Spain,ESP,53229.9220217947,83.8829268292683,9.73828793,47759127,0,13.07,505992
Sri Lanka,LKA,14460.7414188157,77.483,4.36269855,22181000,0,27.25,65610
St. Kitts and Nevis,KNA,33749.700420686,72.145,5.56801701,46709,0,27.47,261
St. Lucia,LCA,25974.1960274448,72.697,5.01938295,178781,0,27.00,616
St. Martin (French part),MAF,..,80.224,..,28870,0,27.71,53
St. Vincent and the Grenadines,VCT,20349.2285703519,71.23,4.68767738,102046,0,26.17,389
Sudan,SDN,2740.42114257813,66.331,4.61874437,49383346,0,27.95,1886068
Suriname,SUR,21135.5456365133,73.631,5.91760969,623164,0,26.58,163820
Sweden,SWE,67198.0200377525,83.309756097561,10.49857044,10486941,0,3.23,450295
Switzerland,CHE,89546.278488259,84.0560975609756,11.70653343,8777088,1,6.47,41284
Syrian Arab Republic,SYR,..,72.12,4.15098715,22462173,0,18.75,185180
Tajikistan,TJK,4963.58295264501,71.79,7.62917423,10182222,1,3.85,143100
Tanzania,TZA,4018.5166015625,66.995,3.1119566,64711821,0,22.92,945087
Thailand,THA,23465.0631354173,76.412,5.35470581,71735329,0,26.85,513120
Timor-Leste,TLS,4803.96924825568,67.689,14.32454681,1369295,0,24.57,14874
Togo,TGO,3071.51216831952,62.739,6.04134083,9089738,0,27.33,56785
Tonga,TON,..,72.895,8.13607597,105042,0,25.01,747
Trinidad and Tobago,TTO,35188.5349159275,73.49,6.43106365,1365805,0,26.55,5130
Tunisia,TUN,13931.8593241649,76.508,6.96380186,12119334,0,20.53,163610
Turkiye,TUR,42326.1644386964,77.156,3.70338893,84979913,0,11.66,783562
Turkmenistan,TKM,19828.9248461199,70.073,5.37103748,7230193,1,16.66,488100
Turks and Caicos Islands,TCA,24755.806302014,78.008,..,45847,0,26.29,948
Tuvalu,TUV,6150.99970413823,67.105,18.38210106,9992,0,28.62,26
Uganda,UGA,3097.63702430616,68.252,4.39089251,47312719,1,23.25,241550
Ukraine,UKR,17630.125,73.422,..,41048766,0,9.27,603500
United Arab Emirates,ARE,76110.3848456483,82.909,4.67550945,10074977,0,28.17,83600
United Kingdom,GBR,58225.131161573,81.2380975609756,11.05087757,67791000,0,9.24,242900
United States,USA,82769.4122114214,78.3853658536585,16.49613953,333271411,0,9.46,9372610
Uruguay,URY,34426.6024727939,78.138,8.94532204,3390913,0,17.97,181034
Uzbekistan,UZB,11106.9715934786,72.388,7.36325455,34938955,1,13.06,447400
Vanuatu,VUT,3460.93371361519,71.477,4.14742947,313046,0,24.44,12189
Venezuela RB,VEN,..,72.514,4.55047369,28300854,0,25.71,916445
Viet Nam,VNM,14973.8839607259,74.588,4.58891582,99680655,0,24.79,331212
Virgin Islands (U.S.),VIR,..,80.519512195122,..,105413,0,26.98,347
West Bank and Gaza,PSE,5896.71082944838,65.17,9.73336029,5043612,0,..,..
Yemen Rep.,YEM,..,69.295,6.18666697,39390799,0,25.54,527968
Zambia,ZMB,4076.99508686639,66.349,5.25592279,20152938,1,22.23,752612
Zimbabwe,ZWE,3820.36262949732,62.775,3.62880659,16069056,1,21.90,390757
